dataset,epoch,scoreType,value
education,1,dev_f1,0.629951690821256
education,1,f1,0.6535362578334826
education,1,bestF1,0.6535362578334826
education,2,dev_f1,0.6481687014428413
education,2,f1,0.6722513089005235
education,2,bestF1,0.6722513089005235
education,3,dev_f1,0.6690476190476191
education,3,f1,0.6834061135371179
education,3,bestF1,0.6834061135371179
military,1,dev_f1,0.6673122444587906
military,1,f1,0.6699539071711867
military,1,bestF1,0.6699539071711867
military,2,dev_f1,0.6682242990654206
military,2,f1,0.6719096145325654
military,2,bestF1,0.6719096145325654
military,3,dev_f1,0.6733504313359757
military,3,f1,0.6779858123037562
military,3,bestF1,0.6779858123037562
politics,1,dev_f1,0.6997558991049634
politics,1,f1,0.7170693686671863
politics,1,bestF1,0.7170693686671863
politics,2,dev_f1,0.7096273291925465
politics,2,f1,0.7271352985638699
politics,2,bestF1,0.7271352985638699
politics,3,dev_f1,0.7170773152081564
politics,3,f1,0.7254740313272877
politics,3,bestF1,0.7254740313272877
tv_and_film,1,dev_f1,0.7828843106180666
tv_and_film,1,f1,0.7858419243986254
tv_and_film,1,bestF1,0.7858419243986254
tv_and_film,2,dev_f1,0.7828843106180666
tv_and_film,2,f1,0.7858419243986254
tv_and_film,2,bestF1,0.7858419243986254
tv_and_film,3,dev_f1,0.7897652719055256
tv_and_film,3,f1,0.7938987009195738
tv_and_film,3,bestF1,0.7938987009195738
oregon,1,dev_f1,0.4220379146919432
oregon,1,f1,0.4105213715359323
oregon,1,bestF1,0.4105213715359323
oregon,2,dev_f1,0.42604651162790697
oregon,2,f1,0.41695541695541694
oregon,2,bestF1,0.41695541695541694
oregon,3,dev_f1,0.428521332554062
oregon,3,f1,0.4178654292343387
oregon,3,bestF1,0.4178654292343387
chicago,1,dev_f1,0.3366199276618937
chicago,1,f1,0.34366835904766596
chicago,1,bestF1,0.34366835904766596
chicago,2,dev_f1,0.34566233766233767
chicago,2,f1,0.3535301403798513
chicago,2,bestF1,0.3535301403798513
chicago,3,dev_f1,0.3485956924336215
chicago,3,f1,0.35523780549639994
chicago,3,bestF1,0.35523780549639994
utah,1,dev_f1,0.8731138545953361
utah,1,f1,0.8814840261078666
utah,1,bestF1,0.8814840261078666
utah,2,dev_f1,0.8760727772056299
utah,2,f1,0.8834019204389574
utah,2,bestF1,0.8834019204389574
utah,3,dev_f1,0.8769017980636238
utah,3,f1,0.8829823955816363
utah,3,bestF1,0.8829823955816363
maryland,1,dev_f1,0.260130798850926
maryland,1,f1,0.2679754452075609
maryland,1,bestF1,0.2679754452075609
maryland,2,dev_f1,0.2576152158010242
maryland,2,f1,0.2653810300629224
maryland,2,bestF1,0.2679754452075609
maryland,3,dev_f1,0.2576152158010242
maryland,3,f1,0.2653810300629224
maryland,3,bestF1,0.2679754452075609
austintexas,1,dev_f1,0.5694956949569494
austintexas,1,f1,0.5628425050340274
austintexas,1,bestF1,0.5628425050340274
austintexas,2,dev_f1,0.5752642102256498
austintexas,2,f1,0.5687480616148042
austintexas,2,bestF1,0.5687480616148042
austintexas,3,dev_f1,0.580045211672832
austintexas,3,f1,0.5726045607935372
austintexas,3,bestF1,0.5726045607935372
football,1,dev_f1,0.8551115536045617
football,1,f1,0.8550027417338506
football,1,bestF1,0.8550027417338506
football,2,dev_f1,0.8821475329420321
football,2,f1,0.8817081599739792
football,2,bestF1,0.8817081599739792
football,3,dev_f1,0.8969808645770984
football,3,f1,0.897010623966167
football,3,bestF1,0.897010623966167
