dataset,epoch,valid_f1,test_f1,best_test_f1
education,1,0.6537216828478964,0.6688102893890675,0.6688102893890675
education,2,0.6713780918727915,0.6925795053003534,0.6925795053003534
education,3,0.6573426573426573,0.6968641114982578,0.6925795053003534
education,4,0.6975476839237057,0.721407624633431,0.721407624633431
education,5,0.7184466019417476,0.7687074829931972,0.7687074829931972
education,6,0.7468354430379747,0.7656765676567656,0.7656765676567656
education,7,0.7672131147540985,0.7866666666666666,0.7866666666666666
education,8,0.760655737704918,0.8219178082191781,0.7866666666666666
education,9,0.8013245033112583,0.833922261484099,0.833922261484099
education,10,0.7909967845659164,0.8271186440677967,0.833922261484099
education,11,0.8184818481848185,0.8402777777777778,0.8402777777777778
education,12,0.8108108108108109,0.8368794326241135,0.8402777777777778
education,13,0.8040540540540541,0.8409893992932862,0.8402777777777778
education,14,0.8126984126984127,0.8338983050847458,0.8402777777777778
education,15,0.8178694158075602,0.8540925266903914,0.8402777777777778
education,16,0.8157099697885196,0.8116883116883117,0.8402777777777778
education,17,0.8078175895765473,0.831615120274914,0.8402777777777778
education,18,0.8120805369127517,0.851063829787234,0.8402777777777778
education,19,0.8150684931506849,0.8540925266903914,0.8402777777777778
education,20,0.8150684931506849,0.851063829787234,0.8402777777777778
military,1,0.5615640599001663,0.5482762212269555,0.5482762212269555
military,2,0.6028325868538917,0.5998271391529818,0.5998271391529818
military,3,0.7415573541724811,0.7333046100818613,0.7333046100818613
military,4,0.8570989551321451,0.8476280238768459,0.8476280238768459
military,5,0.9341734372409219,0.930517711171662,0.930517711171662
military,6,0.9416498993963782,0.9362728212194281,0.9362728212194281
military,7,0.9400431821956485,0.9414984604858021,0.9362728212194281
military,8,0.9477574332269444,0.9452339688041596,0.9452339688041596
military,9,0.9522689075630252,0.9493934142114384,0.9493934142114384
military,10,0.9526034712950601,0.9525115720898338,0.9525115720898338
military,11,0.9612892507060973,0.9593717992488905,0.9593717992488905
military,12,0.9609479305740988,0.959931506849315,0.9593717992488905
military,13,0.963098404255319,0.9598359254828235,0.9598359254828235
military,14,0.9659886628876292,0.9623287671232877,0.9623287671232877
military,15,0.9656545545047287,0.9641148325358853,0.9623287671232877
military,16,0.9656084656084656,0.9650349650349651,0.9623287671232877
military,17,0.9674958540630183,0.9641638225255973,0.9641638225255973
military,18,0.967032967032967,0.9638265043716784,0.9641638225255973
military,19,0.9675711449371278,0.9652470187393527,0.9652470187393527
military,20,0.9679232804232805,0.9662806539509536,0.9662806539509536
politics,1,0.645655877342419,0.6747967479674797,0.6747967479674797
politics,2,0.697524219590958,0.7349753694581281,0.7349753694581281
politics,3,0.713846153846154,0.7378640776699028,0.7378640776699028
politics,4,0.7416216216216217,0.7833163784333673,0.7833163784333673
politics,5,0.7528604118993135,0.8064171122994652,0.8064171122994652
politics,6,0.7686996547756042,0.8098290598290598,0.8098290598290598
politics,7,0.7779030439684329,0.8070175438596491,0.8070175438596491
politics,8,0.7886089813800656,0.8272357723577236,0.8272357723577236
politics,9,0.7857847976307996,0.8245125348189415,0.8272357723577236
politics,10,0.8236582694414019,0.8487309644670051,0.8487309644670051
politics,11,0.8382838283828383,0.8641975308641976,0.8641975308641976
politics,12,0.8366627497062279,0.8313384113166485,0.8641975308641976
politics,13,0.8373151308304891,0.8666666666666666,0.8641975308641976
politics,14,0.8275862068965518,0.860581745235707,0.8641975308641976
politics,15,0.8382193268186753,0.8676616915422886,0.8641975308641976
politics,16,0.8405797101449275,0.86414708886619,0.86414708886619
politics,17,0.8441988950276244,0.8693877551020407,0.8693877551020407
politics,18,0.8453837597330367,0.8638689866939612,0.8638689866939612
politics,19,0.8480176211453745,0.8704453441295547,0.8704453441295547
politics,20,0.848552338530067,0.8633093525179856,0.8633093525179856
tv_and_film,1,0.917407878017789,0.9200524246395807,0.9200524246395807
tv_and_film,2,0.9218038891187422,0.9233390119250425,0.9233390119250425
tv_and_film,3,0.9222929936305733,0.9224024550635687,0.9224024550635687
